Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253 Macpherson Ave,0.00,Square feet,168,"2,063.68575",kWh,,,215.65516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Alvin Ave,0.00,Square feet,168,"36,707.24765",kWh,,,"3,835.90738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265 Armadale Ave,0.00,Square feet,168,"14,212.72349",kWh,,,"1,485.22961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265 Durie St,0.00,Square feet,168,"12,226.28507",kWh,,,"1,277.64679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268 Rhodes Ave,0.00,Square feet,168,"6,295.01925",kWh,,,657.82951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Erindale Ave,0.00,Square feet,168,"11,168.59176",kWh,,,"1,167.11784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Langford Ave,0.00,Square feet,168,"2,253.70059",kWh,,,235.51171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Yorkville Ave,0.00,Square feet,168,"2,264,656.24774",kWh,,,"236,656.57789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 Queen St E,"173,030.00",Square feet,168,"634,303.28120",kWh,,,"66,284.69289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349 Keele St,0.00,Square feet,168,"4,627.84823",kWh,,,483.61014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 Bellevue Ave,0.00,Square feet,168,"21,783.85096",kWh,,,"2,276.41243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351 Lippincott St,0.00,Square feet,168,"10,083.20044",kWh,,,"1,053.69445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Queen St E,0.00,Square feet,168,"1,569,575.26353",kWh,,,"164,020.61504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376 Clinton St,0.00,Square feet,168,"2,379.77824",kWh,,,248.68683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3885 Yonge St Lot,0.00,Square feet,168,"64,687.34620",kWh,,,"6,738.56033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 Keele St,0.00,Square feet,168,"3,794.97736",kWh,,,396.57513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44 Richmond St E,0.00,Square feet,168,"63,303.86407",kWh,,,"6,615.25380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 Aberdeen Ave,0.00,Square feet,168,"3,072.54300",kWh,,,321.08074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453 Spadina Rd,0.00,Square feet,168,"4,365.76251",kWh,,,456.22218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470 Windermere Ave,0.00,Square feet,168,"7,253.82967",kWh,,,758.02520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 York St,0.00,Square feet,168,"3,636.40885",kWh,,,380.00473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557 Palmerston Ave,0.00,Square feet,168,"4,918.94353",kWh,,,514.02960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573 Gerrard St E,0.00,Square feet,168,"10,198.40354",kWh,,,"1,065.73317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670 Pape Ave,0.00,Square feet,168,"8,618.07500",kWh,,,900.58884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675 Manning Ave,0.00,Square feet,168,"3,106.21294",kWh,,,324.59925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68 Amroth Ave,0.00,Square feet,168,"6,815.38346",kWh,,,712.20757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697 Lansdowne Ave,0.00,Square feet,168,"6,146.64412",kWh,,,642.32431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Bartlett Ave,0.00,Square feet,168,"3,152.16647",kWh,,,329.40140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 Dunfield Ave,0.00,Square feet,168,"1,079,279.56258",kWh,,,"112,784.71429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708 Millwood Rd,0.00,Square feet,168,"1,839.76114",kWh,,,192.25504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709 Millwood Rd,0.00,Square feet,168,"58,260.81029",kWh,,,"6,088.25468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72 Clinton St,0.00,Square feet,168,"231,823.05720",kWh,,,"24,254.88594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720 Pape Ave,0.00,Square feet,168,"18,151.54912",kWh,,,"1,896.83688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737 Rhodes Ave,0.00,Square feet,168,"5,619.90706",kWh,,,587.28029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Carling Ave,0.00,Square feet,168,"10,051.36647",kWh,,,"1,050.36780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803 Richmond St W,0.00,Square feet,168,"4,602.73260",kWh,,,480.98556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804 Carlaw Ave,0.00,Square feet,168,"5,268.82471",kWh,,,550.59218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81 Lee Ave,0.00,Square feet,168,"9,417.94033",kWh,,,984.17476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85 Bay St,0.00,Square feet,168,"44,975.57596",kWh,,,"4,699.94769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Emerson Ave,0.00,Square feet,168,"4,913.95471",kWh,,,513.50827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Salem Ave,0.00,Square feet,168,"3,157.79824",kWh,,,329.98992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 Eaton Ave,0.00,Square feet,168,"2,536.77412",kWh,,,265.09290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Via Italia,0.00,Square feet,168,"261,141.46071",kWh,,,"27,289.28264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912 Eglinton Ave W,0.00,Square feet,168,"2,474.33727",kWh,,,258.56824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 Cedarvale Ave,0.00,Square feet,168,"1,919.29088",kWh,,,200.56590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beecroft Parking Lot,"120,297.00",Square feet,168,"726,371.00941",kWh,"6,676.63805",Cubic meter,"88,528.80265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car Park,0.00,Square feet,168,"6,445.38159",kWh,,,673.54238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglinton Ave W,0.00,Square feet,168,"2,111.32206",kWh,,,220.63316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kbs-Post S East  Parking Lot,0.00,Square feet,168,"37,968.45354",kWh,,,"3,967.70340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT Commuter Lot,97.00,Square feet,168,"53,035.94177",kWh,,,"5,542.25591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Centre,"173,084.00",Square feet,100,"2,437,036.18000",kWh,,,"402,593.61139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Lawrence Centre,"80,729.00",Square feet,100,"1,597,804.96000",kWh,,,"484,090.67134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Centre for the Arts,"177,992.00",Square feet,100,"1,891,102.75468",kWh,"173,553.48236",Cubic meter,"525,688.28615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11 Police Division - NEW,"62,000.00",Square feet,168,"1,146,333.76073",kWh,"28,881.58219",Cubic meter,"174,360.23487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12 Police Division,"25,780.00",Square feet,168,"610,151.60913",kWh,"7,550.43603",Cubic meter,"78,035.90137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#13 Police Division,"20,344.00",Square feet,168,"510,308.62177",kWh,"44,801.81953",Cubic meter,"138,075.75967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14 Police Division - NEW,"64,200.00",Square feet,168,"1,456,265.85581",kWh,"45,244.52933",Cubic meter,"237,720.31069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21 Police Division,"7,492.00",Square feet,168,"185,675.96954",kWh,"17,530.14647",Cubic meter,"52,546.10705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22 Police Division,"32,270.00",Square feet,168,"490,325.96421",kWh,"80,678.43506",Cubic meter,"203,771.89090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23 Police Division New,"57,264.00",Square feet,168,"995,231.34419",kWh,"57,817.81000",Cubic meter,"213,383.88508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#31 Police Division,"35,489.00",Square feet,168,"657,869.99661",kWh,"50,502.45538",Cubic meter,"164,228.72036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#32 Police Division,"47,652.00",Square feet,168,"733,031.48619",kWh,"47,492.62524",Cubic meter,"166,392.63875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#33 Police Division,"27,889.00",Square feet,168,"410,691.27986",kWh,"41,804.39667",Cubic meter,"121,953.75980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#41 Police Division,"51,080.00",Square feet,168,"755,046.22447",kWh,"103,012.38588",Cubic meter,"273,660.32854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#42 Police Division,"36,620.00",Square feet,168,"628,209.74355",kWh,"48,277.59821",Cubic meter,"156,922.84887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#43 Police Division,"55,450.00",Square feet,168,"783,834.81200",kWh,"98,597.26669",Cubic meter,"268,321.39237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#51 Police Division New,"56,000.00",Square feet,168,"1,457,703.69059",kWh,"125,156.68473",Cubic meter,"388,996.41649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#52 Police Division,"71,677.00",Square feet,168,"1,057,218.83484",kWh,"77,201.59000",Cubic meter,"256,438.77874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#53 Police Division,"52,183.00",Square feet,168,"766,242.18551",kWh,"47,243.21977",Cubic meter,"169,391.61526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#54 Police Division,"23,358.00",Square feet,168,"505,278.60581",kWh,"52,496.62129",Cubic meter,"152,053.14393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#55 Police Division,"23,519.00",Square feet,168,"556,906.16875",kWh,"11,514.94059",Cubic meter,"79,967.15221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Island Police Division,"1,001.00",Square feet,168,"18,705.72906",kWh,,,"1,738.19534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Beach Life Stn,680.00,Square feet,168,"21,163.16507",kWh,,,"2,211.55075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detective Services Building,"24,000.00",Square feet,168,"398,357.85441",kWh,"16,982.41750",Cubic meter,"73,735.82129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergency Task Force,"35,995.00",Square feet,168,"557,955.15289",kWh,"68,321.31574",Cubic meter,"187,476.43290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Forensic Service, Store & Garage","62,484.00",Square feet,168,"1,656,050.43508",kWh,"186,264.44447",Cubic meter,"525,214.32388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Bay Life Stn,"1,830.00",Square feet,168,"37,239.54714",kWh,,,"3,891.53268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligence Bureau,"70,547.00",Square feet,168,"1,555,476.59226",kWh,"77,877.42424",Cubic meter,"309,784.46486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leuty Beach,"1,000.00",Square feet,168,"8,087.35267",kWh,,,845.12835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Academy,"302,735.00",Square feet,168,"3,018,058.24290",kWh,"490,574.64885",Cubic meter,"1,242,880.76301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Dog Service,"9,440.00",Square feet,168,"163,483.92389",kWh,"19,380.59588",Cubic meter,"53,725.54790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Garage,"33,024.00",Square feet,168,"387,458.38029",kWh,"76,435.72645",Cubic meter,"185,000.84894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Headquarters,"425,000.00",Square feet,168,"10,128,790.32548",kWh,"435,819.90758",Cubic meter,"1,972,087.26001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Marine Hq,"23,035.00",Square feet,168,"407,829.47469",kWh,"31,997.05546",Cubic meter,"103,112.67707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Bureau,"43,992.00",Square feet,168,"449,413.10353",kWh,"62,694.46118",Cubic meter,"165,495.51037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Evidence Unit,"287,752.00",Square feet,168,"2,721,567.61904",kWh,"101,598.85887",Cubic meter,"476,489.36194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Order,"8,342.00",Square feet,168,"158,885.52057",kWh,"17,208.40690",Cubic meter,"49,138.21561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Radio, Electronics and Telecom","18,000.00",Square feet,168,"117,849.48756",kWh,,,"12,315.26577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAVIS - OSSG,"16,952.00",Square feet,168,"254,856.15037",kWh,"32,710.69200",Cubic meter,"88,476.18520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Services and Garage,"297,988.00",Square feet,168,"2,658,681.07000",kWh,"378,055.27226",Cubic meter,"992,593.67704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agincourt District,"26,996.00",Square feet,70,"756,280.99698",kWh,"5,383.23529",Cubic meter,"89,209.05418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Campbell District,"26,102.00",Square feet,70,"539,098.96710",kWh,"12,179.14656",Cubic meter,"79,391.70069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion,"32,281.00",Square feet,70,"413,834.45492",kWh,"52,215.33388",Cubic meter,"141,965.42059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury Park Library,"6,318.00",Square feet,70,"133,117.32679",kWh,"11,941.53677",Cubic meter,"36,487.75248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annette Street,"7,804.00",Square feet,70,"175,104.79569",kWh,"9,749.70161",Cubic meter,"36,731.50026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Frum,"44,319.00",Square feet,70,"889,104.83680",kWh,"70,708.06810",Cubic meter,"226,594.03811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview,"6,340.00",Square feet,70,"137,346.23780",kWh,,,"14,352.68185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaches,"7,804.00",Square feet,70,"143,196.59974",kWh,"13,582.51958",Cubic meter,"40,643.52292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bendale,"8,503.00",Square feet,70,"105,389.75882",kWh,"9,727.68449",Cubic meter,"29,404.65274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Creek,"7,093.00",Square feet,70,"55,203.21918",kWh,"4,880.58824",Cubic meter,"14,996.10830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloor Gladstone,"20,627.00",Square feet,70,"385,835.68419",kWh,"43,798.41276",Cubic meter,"123,126.29072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brentwood,"13,616.00",Square feet,70,"258,079.48199",kWh,,,"26,969.30587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookbanks,"7,933.00",Square feet,70,"106,217.39559",kWh,"22,278.87491",Cubic meter,"53,116.62682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedarbrae,"31,506.00",Square feet,70,"528,391.25290",kWh,"35,094.55653",Cubic meter,"121,567.60206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial,"6,867.00",Square feet,70,"127,693.89529",kWh,"10,068.59893",Cubic meter,"32,379.97705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliffcrest,"4,898.00",Square feet,70,"94,529.30654",kWh,"9,425.69000",Cubic meter,"27,698.77654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Shaw,"7,685.00",Square feet,70,"72,588.56429",kWh,"11,971.79765",Cubic meter,"30,219.70884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danforth Coxwell,"9,612.00",Square feet,70,"127,147.52697",kWh,"8,776.20549",Cubic meter,"29,879.44763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawes Road,"6,501.00",Square feet,70,"152,855.49740",kWh,,,"15,973.39948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer Park,"16,576.00",Square feet,70,"350,450.16143",kWh,"31,917.79125",Cubic meter,"96,966.67979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Mills,"21,560.00",Square feet,70,"344,113.88306",kWh,"26,994.44879",Cubic meter,"86,996.33451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downsview,"20,021.00",Square feet,70,"287,801.30679",kWh,"18,074.26970",Cubic meter,"64,246.93885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dufferin St Clair,"11,208.00",Square feet,70,"109,825.50160",kWh,"15,471.76305",Cubic meter,"40,728.09788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Service Building,"20,040.00",Square feet,70,"112,920.01423",kWh,"32,951.40235",Cubic meter,"74,098.95246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eatonville,"12,217.00",Square feet,70,"167,510.42836",kWh,"16,519.66400",Cubic meter,"48,737.36255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglinton Square,"4,715.00",Square feet,70,"104,631.53168",kWh,,,"10,933.99506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmbrook Park,"3,595.00",Square feet,70,"59,066.00533",kWh,"2,866.32871",Cubic meter,"11,591.55600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelyn Gregory,"6,200.00",Square feet,70,"84,435.90183",kWh,"14,339.15625",Cubic meter,"35,933.54770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview Mall,"64,670.00",Square feet,70,"509,874.13353",kWh,"100,176.43735",Cubic meter,"242,583.23056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrard Ashdale,"6,501.00",Square feet,70,"59,297.39857",kWh,"10,181.35294",Cubic meter,"25,445.71892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldhawk Park,"7,998.00",Square feet,70,"285,069.55610",kWh,"19,049.96138",Cubic meter,"65,806.13994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guildwood,"3,014.00",Square feet,70,"26,801.14412",kWh,"3,181.04902",Cubic meter,"8,814.89673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Park Library,"9,494.00",Square feet,70,"143,156.08365",kWh,"22,472.38393",Cubic meter,"57,446.70655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Creek,"6,997.00",Square feet,70,"100,848.58702",kWh,"7,411.46667",Cubic meter,"24,550.99633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest,"7,470.00",Square feet,70,"135,133.73987",kWh,"18,163.15625",Cubic meter,"48,461.22943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Bay,"2,400.00",Square feet,70,"39,077.82294",kWh,"3,128.14706",Cubic meter,"9,997.79179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Summit,"9,042.00",Square feet,70,"112,545.02275",kWh,"6,579.76134",Cubic meter,"24,200.82933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane & Dundas,"11,603.00",Square feet,70,"138,113.86291",kWh,"13,078.21936",Cubic meter,"39,158.93330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Sheppard,"6,997.00",Square feet,70,"117,875.96781",kWh,"6,368.05079",Cubic meter,"24,357.64740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones,"3,638.00",Square feet,70,"41,552.27125",kWh,"9,584.03372",Cubic meter,"22,462.04526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Eglinton,"7,653.00",Square feet,70,"112,480.34369",kWh,168.27137,Cubic meter,"12,072.33430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaside,"11,991.00",Square feet,70,"218,342.78897",kWh,"22,625.91818",Cubic meter,"65,593.99326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillian H Smith,"38,933.00",Square feet,70,"1,275,524.02097",kWh,"156,166.62225",Cubic meter,"428,545.09272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locke,"11,647.00",Square feet,70,"193,955.14396",kWh,"60,117.55229",Cubic meter,"133,928.18007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Branch,"6,415.00",Square feet,70,"77,044.76928",kWh,"9,562.55882",Cubic meter,"26,130.41029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Street,"8,665.00",Square feet,70,"68,798.07758",kWh,"14,190.46219",Cubic meter,"34,018.27006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria A Shchuka,"25,475.00",Square feet,70,"244,251.36235",kWh,"25,750.97917",Cubic meter,"74,209.76386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Ross Serv Bldg,"27,997.00",Square feet,70,"1,639,899.13839",kWh,"43,129.15583",Cubic meter,"252,910.60646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryvale,"4,424.00",Square feet,70,"40,662.39352",kWh,"6,973.64229",Cubic meter,"17,433.77652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimico,"17,470.00",Square feet,70,"84,941.69927",kWh,"27,827.97778",Cubic meter,"61,488.73372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside,"6,997.00",Square feet,70,"113,834.30395",kWh,"4,440.43939",Cubic meter,"20,290.89937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Dennis,"11,345.00",Square feet,70,"151,699.58325",kWh,"15,835.60433",Cubic meter,"45,791.82755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,"5,834.00",Square feet,70,"56,397.28712",kWh,"7,452.33998",Cubic meter,"19,983.11169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Toronto,"9,924.00",Square feet,70,"126,612.11715",kWh,"10,421.46177",Cubic meter,"32,934.06323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North York Central,"168,014.00",Square feet,70,"2,324,663.76129",kWh,"159,486.35192",Cubic meter,"544,456.56612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern District,"45,800.00",Square feet,70,"2,687,323.64290",kWh,"206,612.80887",Cubic meter,"671,453.07568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
